Timestamp,AT-1100.PV Value kg/m3,AT-1104.PV Value kg/m3,AT-1201.PV Value kg/m3,FC-1002.PV Value kg/h,FC-1002.SP Value kg/h,FRC-1004.PV Value,FRC-1004.SP Value,FT-1001.PV Value kg/h,FT-1002.PV Value kg/h,FT-1003.PV Value kg/h,FT-1004.PV Value kg/h,FT-1005.PV Value kg/h,FT-1102.PV Value m3/h,FT-1104.PV Value m3/h,FT-1200.PV Value kg/h,FT-1201.PV Value kg/h,FT-1215.PV Value kg/h,FT-1300.PV Value kg/h,LC-1001.PV Value %,LC-1001.SP Value %,LC-1104.PV Value %,LC-1104.SP Value %,LC-1200.PV Value %,LC-1200.SP Value %,LC-1212.PV Value %,LC-1212.SP Value %,PC-1104.PV Value kPa,PC-1104.SP Value kPa,PT-1001.PV Value kPa,PT-1004.PV Value kPa,PT-1100.PV Value kPa,PT-1300.PV Value kPa,TC-1006.PV Value °C,TC-1006.SP Value °C,TC-1103.PV Value °C,TC-1103.SP Value °C,TC-1205.PV Value °C,TC-1205.SP Value °C,TC-1211.PV Value °C,TC-1211.SP Value °C,TC-1215.PV Value °C,TC-1215.SP Value °C,TT-1001.PV Value °C,TT-1004.PV Value °C,TT-1005.PV Value °C,TT-1006.PV Value °C,TT-1100.PV Value °C,TT-1102.PV Value °C,TT-1103.PV Value °C,TT-1211.PV Value °C
2025-10-12T15:00:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:01:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:02:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:03:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:04:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:05:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:06:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:07:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:08:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
2025-10-12T15:09:00.0000000Z,37.378,797.951,730.84,15000,15000,5,5,5328.461,15000,15000,3000,26044.441,420.016,944.493,14786.524,5114.984,1477.203,9671.539,50,50,50,50,50,50,50,50,215.713,215.713,2623.925,2575.8,2521.58,2627.209,341.57,341.57,90,90,151.419,151.419,40,40,104.581,104.581,30.314,207.462,350,341.57,440.571,40.012,90,40
